TITRE;LIEN
"Zep AI (Agent Context Engineering, YC W24) Is Hiring Forward Deployed Engineers";"https://www.ycombinator.com/companies/zep-ai/jobs/"
"Jiga (YC W21) Is Hiring Full Stack Engineers";"https://jiga.io/about-us"
"Sei (YC W22) Is Hiring a DevOps Engineer (India/In-Office/Chennai/Gurgaon)";"https://www.ycombinator.com/companies/sei/jobs/Rn0KPXR-devops-platform-ai-infrastructure-engineer"
"IcePanel (YC W23) is hiring full-stack engineers in Vancouver";"https://forms.icepanel.io/careers/senior-product-engineer"
"Mux (YC W16) is hiring a platform engineer that cares about (internal) DX";"https://www.mux.com/jobs"
"Tamarind Bio (YC W24) Is Hiring Infrastructure Engineers";"https://www.ycombinator.com/companies/tamarind-bio/jobs/HPRZAz3-infrastructure-engineer"
"Optery (YC W22) Hiring a CISO and Web Scraping Engineers (Node) (US and Latam)";"https://www.optery.com/careers/"
"GoGoGrandparent (YC S16) is hiring back end engineers";"https://www.ycombinator.com/companies/gogograndparent/jobs/2vbzAw8-gogograndparent-yc-s16-is-hiring-backend-and-full-stack-engineers"
"Trellis AI (YC W24) is hiring engineers to build AI agents for healthcare access";"https://www.ycombinator.com/companies/trellis-ai/jobs/ngvfeaq-member-of-technical-staff-full-time"
"ParadeDB (YC S23) Is Hiring Database Engineers";"https://paradedb.notion.site/?p=172ea4ce9deb80898ef5d5097bd65544&pm=s"
